Metric,Avg,Min,Max,Unit
Req,1157.8113297555158,1157.8113297555158,1157.8113297555158,Req per wave
Streaming Req,0.0,0.0,0.0,Req per wave
Read Req,1188.4067978533094,1188.4067978533094,1188.4067978533094,Req per wave
Write Req,8.0,8.0,8.0,Req per wave
Atomic Req,0.0,0.0,0.0,Req per wave
Probe Req,0.0,0.0,0.0,Req per wave
Hits,1154.3225998807395,1154.3225998807395,1154.3225998807395,Hits per wave
Misses,3.488729874776386,3.488729874776386,3.488729874776386,Misses per wave
Cache Hit,99.6986788965424,99.6986788965424,99.6986788965424,Pct
Writeback,0.3085271317829457,0.3085271317829457,0.3085271317829457, per wave
NC Req,0.006678592725104353,0.006678592725104353,0.006678592725104353,Req per wave
UC Req,0.007632677400119261,0.007632677400119261,0.007632677400119261,Req per wave
CC Req,0.0,0.0,0.0,Req per wave
RW Req,1109.9577817531306,1109.9577817531306,1109.9577817531306,Req per wave
Writeback (Normal),0.29457364341085274,0.29457364341085274,0.29457364341085274, per wave
Writeback (TC Req),0.0,0.0,0.0, per wave
Evict (Normal),0.0,0.0,0.0, per wave
Evict (TC Req),0.0,0.0,0.0, per wave
