Metric,Avg,Min,Max,Unit
Wave request Failed (CS),234005.0,234005,234005,Cycles
CS Stall,148368.0,148368,148368,Cycles
CS Stall Rate,27.88620575587165,27.88620575587165,27.88620575587165,Pct
Scratch Stall,0.0,0,0,Cycles
Insufficient SIMD Waveslots,6854208.0,6854208,6854208,Simd
Insufficient SIMD VGPRs,0.0,0,0,Simd
Insufficient SIMD SGPRs,0.0,0,0,Simd
Insufficient CU LDS,0.0,0,0,Cu
Insufficient CU Barries,0.0,0,0,Cu
Insufficient Bulky Resource,0.0,0,0,Cu
Reach CU Threadgroups Limit,0.0,0,0,Cycles
Reach CU Wave Limit,0.0,0,0,Cycles
VGPR Writes,4.0,4.0,4.0,Cycles/wave
SGPR Writes,3.0,3.0,3.0,Cycles/wave
