Metric,Avg,Min,Max,Unit
Req,1043.2428145497913,1043.2428145497913,1043.2428145497913,Req per wave
Streaming Req,0.0,0.0,0.0,Req per wave
Read Req,1083.6919499105545,1083.6919499105545,1083.6919499105545,Req per wave
Write Req,8.0,8.0,8.0,Req per wave
Atomic Req,0.0,0.0,0.0,Req per wave
Probe Req,0.0,0.0,0.0,Req per wave
Hits,1039.747763864043,1039.747763864043,1039.747763864043,Hits per wave
Misses,3.4950506857483603,3.4950506857483603,3.4950506857483603,Misses per wave
Cache Hit,99.66498205048681,99.66498205048681,99.66498205048681,Pct
Writeback,0.3184257602862254,0.3184257602862254,0.3184257602862254, per wave
NC Req,0.0,0.0,0.0,Req per wave
UC Req,0.013953488372093023,0.013953488372093023,0.013953488372093023,Req per wave
CC Req,0.0,0.0,0.0,Req per wave
RW Req,1071.1899821109123,1071.1899821109123,1071.1899821109123,Req per wave
Writeback (Normal),0.31937984496124033,0.31937984496124033,0.31937984496124033, per wave
Writeback (TC Req),0.0,0.0,0.0, per wave
Evict (Normal),0.0,0.0,0.0, per wave
Evict (TC Req),0.0,0.0,0.0, per wave
